,name,description
20,MATTEMOISELLE - Plush Matte Lipstick,"An ultra slim lipstick with a longwearing, petal-soft matte finish, created in a rainbow of 14 weightless, color-intense shades each designed to flatter all skin tones."
21,Almost Lipstick,"Transparent pigment merges with the unique, natural tone of your lips to create something wonderful and yours alone. Sheer, glossy. Emollient-rich and very lightweight."
22,Butter Shine&trade; Lipstick,"The creamiest, richest, smoothest lip colour you can imagine. Our revolutionary gel formula delivers the shine of a gloss, the comfort of a lipstick. Drenches lips in moist, lush colour that glides on buttery-soft, feels luxuriously smooth."
23,Long Last Soft Matte Lipstick,"Long-wearing formula keeps its just-applied look for hours. Non-drying, non-feathering. Full coverage, velvety, soft matte finish."
24,Long Last Lipstick,"Longest-wearing formula. Keeps its just-applied look for hours. Won't feather, creep, stain or dry out."
25,Different Lipstick,"Different because of its smooth, comfortable feel. Moderate coverage in a remarkable range of shades, from cream to pearl. Every one packed with rich emollients."
26,Dior Addict Lipstick - Limited Edition,Dior ushers in a new era in lip makeup with the breakthrough creation of a lipstick that boasts a hydra-gel core with a top coat effect for sensational mirror shine.
27,Dior Addict Lipstick,Dior ushers in a new era in lip makeup with the breakthrough creation of a lipstick that boasts a hydra-gel core with a top coat effect for sensational mirror shine.
28,Luxury Moisturizing Lipstick IMAN Nude,"13oz (3.7g) Luscious creamy, semi-matte lip color for full coverage and a long-lasting smooth finish. Made in China. "
29,BIG sexy lipstick set,4 all-in-one lipstick and liners
30,Insta-Matte Lipstick Transformer,"Give your lipstick a matte makeover? stantly! Created by our L.A. photo studio pro artists to instantly double their lipstick collection on set, this gel transforms any cream lipstick into a velvety matte finish that???never chalky. Now you can wear your favorite lip shades 2 ways, minus the mess of DIY mattifying methods. Loose powder on your lips? No thanks. Just pat for matte!Apply generously over cream lipstick using finger until a matte look is achieved. FYI: Not for use with glosses, lacquers or balms. Transforms any cream lipstick into a matte finish and doubles your lipstick wardrobe Improves wear of lipstick & prevents feathering Portable tube makes it perfect for on-the-go Apply generously over cream lipstick using finger until a matte look is achieved. FYI: Not for use with glosses, lacquers or balms.
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: DIMETHICONE , DIMETHICONE CROSSPOLYMER , TOCOPHEROL , TOCOPHERYL ACETATE , CAPRYLYL GLYCOL , HEXYLENE GLYCOL , TETRAHEXYLDECYL ASCORBATE , PHENOXYETHANOL
                <ILNILN42165>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Give your lipstick a matte makeover?遊쬷stantly! Created by our L.A. photo studio pro artists to instantly double their lipstick collection on set, this gel transforms any cream lipstick into a velvety matte finish that???never chalky. Now you can wear your favorite lip shades 2 ways, minus the mess of DIY mattifying methods. Loose powder on your lips? No thanks. Just pat for matte!Apply generously over cream lipstick using finger until a matte look is achieved. FYI: Not for use with glosses, lacquers or balms. Transforms any cream lipstick into a matte finish and doubles your lipstick wardrobe Improves wear of lipstick & prevents feathering Portable tube makes it perfect for on-the-go Apply generously over cream lipstick using finger until a matte look is achieved. FYI: Not for use with glosses, lacquers or balms.
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: DIMETHICONE , DIMETHICONE CROSSPOLYMER , TOCOPHEROL , TOCOPHERYL ACETATE , CAPRYLYL GLYCOL , HEXYLENE GLYCOL , TETRAHEXYLDECYL ASCORBATE , PHENOXYETHANOL
                <ILNILN42165>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            "
31,BE LEGENDARY LIPSTICK ??FOSTER SISTERS,"Smashbox Cosmetics has collaborated with the effortlessly cool and hilarious ""Barely Famous"" (VH1) sisters, Erin and Sara Foster, to celebrate the launch of the new Be Legendary Lipstick collection. The sisters personalized selections illustrates their unforgettable personalities and the enviable shades of the always photo ready lipstick. Sara chose a soft nude shade, Honey, while Erin chose Mandarin, a vibrant red orange. Both stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won't dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D姨볾BEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILN>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Smashbox Cosmetics has collaborated with the effortlessly cool and hilarious ""Barely Famous"" (VH1) sisters, Erin and Sara Foster, to celebrate the launch of the new Be Legendary Lipstick collection. The sisters personalized selections illustrates their unforgettable personalities and the enviable shades of the always photo ready lipstick. Sara chose a soft nude shade, Honey, while Erin chose Mandarin, a vibrant red orange. Both stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won't dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D姨볾BEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILN>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            "
32,Be Legendary Lipstick,"Makeup artists in our L.A. studio were constantly blending colors to achieve lipstick nirvana. That???why we expanded the line to include 120 jaw-dropping shades! Our creams and mattes stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won???dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D姨볾BEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILNILN40008>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Makeup artists in our L.A. studio were constantly blending colors to achieve lipstick nirvana. That???why we expanded the line to include 120 jaw-dropping shades! Our creams and mattes stay put and pop on camera, delivering rich, vibrant color in just 1 swipe.In a pinch, dot cream shades on cheeks for an instant flush.Available in nudes, neutrals, reds, corals, pinks, berries, browns, violets and bolds Pigment-loaded formula glides on and feels lush and light on the lips Moisturizing, satin-smooth creams soften and protect lips with shea butter + vitamins C and E Silky, vitamin-fortified mattes won???dry out or settle unevenly on lips
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: PENTAERYTHRITYL TETRAISOSTEARATE , BIS-DIGLYCERYL POLYACYLADIPATE-2 , CAPRYLIC/CAPRIC TRIGLYCERIDE , OLEIC/LINOLEIC/LINOLENIC POLYGLYCERIDES , EUPHORBIA CERIFERA (CANDELILLA) WAX\CANDELILLA CERA\CIRE DE CANDELILLA , PVP/HEXADECENE COPOLYMER , DIPENTAERYTHRITYL HEXAHYDROXYSTEARATE/HEXASTEARATE/HEXAROSINATE , DIISOSTEARYL MALATE , POLYETHYLENE , HYDROGENATED POLYDECENE , POLYBUTENE , CETYL LACTATE , SYNTHETIC WAX , BUTYROSPERMUM PARKII (SHEA BUTTER) , TOCOPHEROL , TOCOPHERYL ACETATE , ASCORBYL PALMITATE , GLYCINE SOJA (SOYBEAN) SEED EXTRACT , OLEA EUROPAEA (OLIVE) FRUIT EXTRACT , CHAMOMILLA RECUTITA (MATRICARIA) FLOWER OIL , BEESWAX\CERA ALBA\CIRE D姨볾BEILLE , COPERNICIA CERIFERA (CARNAUBA) WAX\CERA CARNAUBA\CIRE DE CARNAUBA , SYNTHETIC BEESWAX , CERAMIDE 3 , CHOLESTEROL , OCTYLDODECANOL , TRITICUM VULGARE (WHEAT) BRAN EXTRACT , POTASSIUM SULFATE , ALUMINA , CALCIUM ALUMINUM BOROSILICATE , CALCIUM SODIUM BOROSILICATE , TIN OXIDE , SILICA , OLEIC ACID , PALMITIC ACID , CETYL ALCOHOL , GLYCERYL STEARATE , ETHYLHEXYL HYDROXYSTEARATE , FLAVOR (AROMA) , VANILLIN , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , RED 6 (CI 15850) , RED 21 (CI 45380) , RED 6 LAKE (CI 15850) , RED 7 LAKE (CI 15850) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILNILN40008>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            "
33,ALWAYS ON LIQUID LIPSTICK,"Perfected on-set in our L.A. photo studio, our long-wear, water-resistant liquid lipstick features Advanced Polymer Technology that makes it stay put and look as fresh and flawless as your first swipe?遊즣r up to 8 hours. Featherweight but fierce, this liquid matte formula is infused with lip-smoothing Primer Oil complex for suede-soft lip color in 20 super-rad shades. It???smudge-proof, budge-proof and non-feathering. Because really, who has time for touch-ups? LILLY SINGH + SMASHBOXMegastar Lilly Singh is a comedian, artist and all-around entertainer who inspires her eight million YouTube subscribers to be a ""Bawse."" The second we met her, we knew we had to collaborate. We bottled her smart, funny vibe and created Bawse, Lilly's own signature shade of our Always On Liquid Lipstick. This no-rules red is fierce, featherweight and looks as fresh as your first swipe for eight hours. Wear it whenever you want to make things happen.The only matte liquid lipstick infused with Smashbox Primer Oil complex to keep it comfortableAdvanced Polymer Technology makes it stay put and look as fresh and flawless as the first swipePrecision tip applicator lines and fills with one swipe of our no-drop reservoirBudge-proof, non-feathering and water-resistantTo use: Define lip with precise tip and fill in with color. Wipe off with oil-based remover.??
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: Isododecane, Dimethicone, Trimethylsiloxysilicate, Polybutene, Petrolatum, Cyclohexasiloxane, Kaolin, Disteardimonium Hectorite, Beeswax\Cera Alba\Cire d'Abeille, Silica Dimethyl Silylate, Glyceryl Behenate/Eicosadioate, Tocopheryl Acetate, Propylene Carbonate, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclopentasiloxane, Flavor (Aroma), Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol, [+/- Blue 1 Lake (CI 42090), Carmine (CI 75470), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Mica, Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 (CI 45410), Red 28 Lake (CI 45410), Red 30 (CI 73360), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)] 
                <ILNILN42556>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Perfected on-set in our L.A. photo studio, our long-wear, water-resistant liquid lipstick features Advanced Polymer Technology that makes it stay put and look as fresh and flawless as your first swipe?遊즣r up to 8 hours. Featherweight but fierce, this liquid matte formula is infused with lip-smoothing Primer Oil complex for suede-soft lip color in 20 super-rad shades. It???smudge-proof, budge-proof and non-feathering. Because really, who has time for touch-ups? LILLY SINGH + SMASHBOXMegastar Lilly Singh is a comedian, artist and all-around entertainer who inspires her eight million YouTube subscribers to be a ""Bawse."" The second we met her, we knew we had to collaborate. We bottled her smart, funny vibe and created Bawse, Lilly's own signature shade of our Always On Liquid Lipstick. This no-rules red is fierce, featherweight and looks as fresh as your first swipe for eight hours. Wear it whenever you want to make things happen.The only matte liquid lipstick infused with Smashbox Primer Oil complex to keep it comfortableAdvanced Polymer Technology makes it stay put and look as fresh and flawless as the first swipePrecision tip applicator lines and fills with one swipe of our no-drop reservoirBudge-proof, non-feathering and water-resistantTo use: Define lip with precise tip and fill in with color. Wipe off with oil-based remover.??
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Fragrance & Talc.INGREDIENTS: Isododecane, Dimethicone, Trimethylsiloxysilicate, Polybutene, Petrolatum, Cyclohexasiloxane, Kaolin, Disteardimonium Hectorite, Beeswax\Cera Alba\Cire d'Abeille, Silica Dimethyl Silylate, Glyceryl Behenate/Eicosadioate, Tocopheryl Acetate, Propylene Carbonate, Helianthus Annuus (Sunflower) Seed Oil, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Cyclopentasiloxane, Flavor (Aroma), Caprylyl Glycol, Hexylene Glycol, Phenoxyethanol, [+/- Blue 1 Lake (CI 42090), Carmine (CI 75470), Iron Oxides (CI 77491), Iron Oxides (CI 77492), Iron Oxides (CI 77499), Mica, Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 22 Lake (CI 45380), Red 28 (CI 45410), Red 28 Lake (CI 45410), Red 30 (CI 73360), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Titanium Dioxide (CI 77891), Yellow 5 Lake (CI 19140), Yellow 6 Lake (CI 15985)] 
                <ILNILN42556>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            "
34,CoverGirl Outlast Longwear Lipstick,"With CoverGirl Outlast Longwear Lipstick you get both moisture and colour! No need to choose!This long lasting lipstick doesn???flake or 
crumble because it???super-powered with moisture. It'll stays super fresh and 
super flexible all day, leaving you with a light weight but very pigmented lip look."
35,butter LONDON Moisture Matte Lipstick,"butter LONDON Moisture Matte Lipstick offers full coverage, ultimate colour payoff in a velvety matte finish.
With specialized pigments that extend colour wear, this long-lasting, non-drying 
formula does not feather or bleed. Revolutionary gel-capsule technology 
delivers colour and moisture for smooth, silky application and maximum 
comfort. Triple Butter Complex for rich, creamy, lasting moisture ??
Mango Seed Butter, Murumuru Seed Butter, and Cupuacu Seed Butter. 
Vitamin E and minerals smooth the lip surface for a flawless 
application. Subtly scented with creamy vanilla. Sleek, slim line metal 
component for easy application, control and?팺ortability.Ingredients: Pentaerythrityl Tetraisostearate, Caprylic/Capric Triglyceride, Ethylhexyl Palmitate, Silica, Aluminum Starch Octenylsuccinate, Polyethylene, Bis-Diglyceryl Polyacyladipate-2, C20-40 Alcohols, Caprylyl Glycol, Mangifera Indica (Mango) Seed Butter, Theobroma Grandiflorum Seed Butter, Astrocaryum Murumuru Seed Butter, Parfum (Fragrance), Benzyl Benzoate, Tocopheryl Acetate, Tocopherol, Calcium Sodium Borosilicate, Tin Oxide. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, 77492, 77499), Mica (CI 77019), Red 6 (CI 15850), Red 7 Lake (CI 15850), Red 27 (CI 45410), Red 28 Lake (CI 45410), Red 30 Lake (CI 73360), Red 33 Lake (CI 17200), Yellow 5 Lake (CI 19140), Blue 1 Lake (CI 42090), Carmine (CI 75470).Paraben Free"
